1916	1
1920	1
1925	1
1927	1
1929	2
1930	1
1932	1
1933	2
1934	1
1935	1
1936	2
1937	2
1938	2
1939	3
1940	5
1941	1
1942	2
1943	1
1944	1
1945	4
1946	3
1947	3
1948	3
1949	2
1950	1
1951	3
1952	4
1953	4
1954	5
1955	2
1956	3
1957	2
1958	1
1959	3
1960	3
1961	5
1962	8
1963	8
1964	10
1965	8
1966	6
1967	4
1968	11
1969	10
1970	12
1971	11
1972	9
1973	9
1974	9
1975	6
1976	10
1977	16
1978	16
1979	16
1980	24
1981	33
1982	30
1983	22
1984	31
1985	29
1986	26
1987	32
1988	31
1989	33
1990	29
1991	31
1992	34
1993	48
1994	54
1995	70
1996	99
1997	118
1998	134
1999	168
2000	171
2001	188
2002	209
2003	169
2004	214
2005	221
2006	239
2007	204
2008	225
2009	259
2010	229
2011	223
2012	219
2013	236
2014	248
2015	224
