color	director_name	duration	actor_1_name	movie_title	title_year
Color	James Cameron	178	CCH Pounder	Avatar 	2009
Color	Gore Verbinski	169	Johnny Depp	Pirates of the Caribbean: At World's End 	2007
Color	Sam Mendes	148	Christoph Waltz	Spectre 	2015
Color	Christopher Nolan	164	Tom Hardy	The Dark Knight Rises 	2012
	Doug Walker		Doug Walker	Star Wars: Episode VII - The Force Awakens             	
Color	Andrew Stanton	132	Daryl Sabara	John Carter 	2012
Color	Sam Raimi	156	J.K. Simmons	Spider-Man 3 	2007
Color	Nathan Greno	100	Brad Garrett	Tangled 	2010
Color	Joss Whedon	141	Chris Hemsworth	Avengers: Age of Ultron 	2015
Color	David Yates	153	Alan Rickman	Harry Potter and the Half-Blood Prince 	2009
Color	Zack Snyder	183	Henry Cavill	Batman v Superman: Dawn of Justice 	2016
Color	Bryan Singer	169	Kevin Spacey	Superman Returns 	2006
Color	Marc Forster	106	Giancarlo Giannini	Quantum of Solace 	2008
Color	Gore Verbinski	151	Johnny Depp	Pirates of the Caribbean: Dead Man's Chest 	2006
Color	Gore Verbinski	150	Johnny Depp	The Lone Ranger 	2013
Color	Zack Snyder	143	Henry Cavill	Man of Steel 	2013
Color	Andrew Adamson	150	Peter Dinklage	The Chronicles of Narnia: Prince Caspian 	2008
Color	Joss Whedon	173	Chris Hemsworth	The Avengers 	2012
Color	Rob Marshall	136	Johnny Depp	Pirates of the Caribbean: On Stranger Tides 	2011
Color	Barry Sonnenfeld	106	Will Smith	Men in Black 3 	2012
Color	Peter Jackson	164	Aidan Turner	The Hobbit: The Battle of the Five Armies 	2014
Color	Marc Webb	153	Emma Stone	The Amazing Spider-Man 	2012
Color	Ridley Scott	156	Mark Addy	Robin Hood 	2010
Color	Peter Jackson	186	Aidan Turner	The Hobbit: The Desolation of Smaug 	2013
Color	Chris Weitz	113	Christopher Lee	The Golden Compass 	2007
Color	Peter Jackson	201	Naomi Watts	King Kong 	2005
Color	James Cameron	194	Leonardo DiCaprio	Titanic 	1997
Color	Anthony Russo	147	Robert Downey Jr.	Captain America: Civil War 	2016
Color	Peter Berg	131	Liam Neeson	Battleship 	2012
Color	Colin Trevorrow	124	Bryce Dallas Howard	Jurassic World 	2015
Color	Sam Mendes	143	Albert Finney	Skyfall 	2012
Color	Sam Raimi	135	J.K. Simmons	Spider-Man 2 	2004
Color	Shane Black	195	Robert Downey Jr.	Iron Man 3 	2013
Color	Tim Burton	108	Johnny Depp	Alice in Wonderland 	2010
Color	Brett Ratner	104	Hugh Jackman	X-Men: The Last Stand 	2006
Color	Dan Scanlon	104	Steve Buscemi	Monsters University 	2013
Color	Michael Bay	150	Glenn Morshower	Transformers: Revenge of the Fallen 	2009
Color	Michael Bay	165	Bingbing Li	Transformers: Age of Extinction 	2014
Color	Sam Raimi	130	Tim Holmes	Oz the Great and Powerful 	2013
Color	Marc Webb	142	Emma Stone	The Amazing Spider-Man 2 	2014
Color	Joseph Kosinski	125	Jeff Bridges	TRON: Legacy 	2010
Color	John Lasseter	106	Joe Mantegna	Cars 2 	2011
Color	Martin Campbell	123	Ryan Reynolds	Green Lantern 	2011
Color	Lee Unkrich	103	Tom Hanks	Toy Story 3 	2010
Color	McG	118	Christian Bale	Terminator Salvation 	2009
Color	James Wan	140	Jason Statham	Furious 7 	2015
Color	Marc Forster	123	Peter Capaldi	World War Z 	2013
Color	Bryan Singer	149	Jennifer Lawrence	X-Men: Days of Future Past 	2014
Color	J.J. Abrams	132	Benedict Cumberbatch	Star Trek Into Darkness 	2013
Color	Bryan Singer	114	Eddie Marsan	Jack the Giant Slayer 	2013
Color	Baz Luhrmann	143	Leonardo DiCaprio	The Great Gatsby 	2013
Color	Mike Newell	116	Jake Gyllenhaal	Prince of Persia: The Sands of Time 	2010
Color	Guillermo del Toro	131	Charlie Hunnam	Pacific Rim 	2013
Color	Michael Bay	154	Glenn Morshower	Transformers: Dark of the Moon 	2011
Color	Steven Spielberg	122	Harrison Ford	Indiana Jones and the Kingdom of the Crystal Skull 	2008
Color	Peter Sohn	93	A.J. Buckley	The Good Dinosaur 	2015
Color	Mark Andrews	93	Kelly Macdonald	Brave 	2012
Color	Justin Lin	122	Sofia Boutella	Star Trek Beyond 	2016
Color	Andrew Stanton	98	John Ratzenberger	WALL·E 	2008
Color	Brett Ratner	91	Tzi Ma	Rush Hour 3 	2007
Color	Roland Emmerich	158	Oliver Platt	2012 	2009
Color	Robert Zemeckis	96	Robin Wright	A Christmas Carol 	2009
Color	Lana Wachowski	127	Channing Tatum	Jupiter Ascending 	2015
Color	David Yates	110	Christoph Waltz	The Legend of Tarzan 	2016
Color	Andrew Adamson	150	Jim Broadbent	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "	2005
Color	Bryan Singer	144	Jennifer Lawrence	X-Men: Apocalypse 	2016
Color	Christopher Nolan	152	Christian Bale	The Dark Knight 	2008
Color	Pete Docter	96	John Ratzenberger	Up 	2009
Color	Rob Letterman	94	Amy Poehler	Monsters vs. Aliens 	2009
Color	Jon Favreau	126	Robert Downey Jr.	Iron Man 	2008
Color	Martin Scorsese	126	Chloë Grace Moretz	Hugo 	2011
Color	Barry Sonnenfeld	106	Will Smith	Wild Wild West 	1999
Color	Rob Cohen	112	Jet Li	The Mummy: Tomb of the Dragon Emperor 	2008
Color	David Ayer	123	Will Smith	Suicide Squad 	2016
